"contrast","cohort","outcome","estimand","estimator","cr_est","cr_ci_lo","cr_ci_hi","cr_n","main_est","main_ci_lo","main_ci_hi","main_se","main_n","abs_diff","verdict","reason"
"PRIMARY","primary cohort (1,616)","severe_disability","matched ATT","1:1 caliper matching, no replacement | CR: negated matched gose_favorable ATT",-0.0208,-0.0636,0.0221,580,-0.0181,-0.0797,0.0399,NA,NA,0.0027,"agree","Within a quarter of a main-pipeline SE."
"PRIMARY","primary cohort (1,616)","time_arrival_to_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,11.9392,-12.7005,36.5789,12.5713,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_arrival_to_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,13.3423,-12.849,40.1916,13.8981,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_arrival_to_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,15.5973,-9.7422,40.9367,12.9283,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_arrival_to_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,7.3483,-33.9809,47.1122,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_arrival","ATE","TMLE, complete case",NA,NA,NA,NA,-3.7159,-35.2287,27.7969,16.078,1600,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_arrival","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.4551,-32.3372,41.3919,19.1047,1600,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_arrival","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-5.9202,-36.33,24.4895,15.5152,1600,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_arrival","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-19.841,-43.2607,-0.1773,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_def_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,11.4929,-18.7255,41.7112,15.4175,1245,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_def_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,11.3491,-21.9354,47.3438,17.6005,1245,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_def_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,11.6787,-19.1015,42.459,15.7042,1245,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","time_to_def_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-8.1679,-51.8776,34.2258,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0164,-0.0425,0.0097,0.0133,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0156,-0.044,0.0106,0.0139,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0218,-0.0502,0.0065,0.0145,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0194,-0.0495,0.0129,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out_higher_care","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0104,-0.0333,0.0125,0.0117,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out_higher_care","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0095,-0.0345,0.0153,0.0127,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out_higher_care","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0125,-0.0373,0.0123,0.0126,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","transferred_out_higher_care","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0151,-0.043,0.0129,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_by_6mo","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0272,-0.0464,-0.008,0.0098,1704,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_by_6mo","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0167,-0.0397,0.0049,0.0117,1704,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_by_6mo","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0235,-0.0452,-0.0017,0.0111,1704,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_by_6mo","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0026,-0.0284,0.0258,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_by_6mo","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0135,-0.032,0.005,0.0094,1631,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_in_hospital","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0088,-0.0198,0.0021,0.0056,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_in_hospital","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.007,-0.0177,0.0037,0.0057,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_in_hospital","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0106,-0.0225,0.0012,0.006,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_in_hospital","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0046,-0.017,0.0062,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","death_in_hospital","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-0.007,-0.0167,0.0028,0.005,2098,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.323,0.1361,0.5099,0.0954,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.1133,-0.1036,0.318,0.1118,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.1331,-0.0605,0.3267,0.0988,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.1091,-0.1687,0.3843,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.1865,0.0064,0.3666,0.0919,1622,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose_favorable","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0356,0.0037,0.0675,0.0163,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose_favorable","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0081,-0.0316,0.0477,0.0196,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose_favorable","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,1e-04,-0.0335,0.0338,0.0172,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose_favorable","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0104,-0.039,0.0597,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","gose_favorable","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0109,-0.021,0.0428,0.0163,1622,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","NC: Chronic hypertension","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,0.0076,-0.004,0.0191,0.0059,2197,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","NC: Diabetes, insulin dependent","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,NA,NA,NA,NA,2197,NA,"not_comparable","Neither pipeline reports this cell."
"C4","ambulance, transfers included (2,197)","NC: HIV/AIDS on ART","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,6e-04,-0.0056,0.0068,0.0032,2197,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","NC: Urban household (SES)","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,0.0676,0.0487,0.0865,0.0096,2197,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","NC: Wood/charcoal cooking fuel (SES)","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,-0.0516,-0.0738,-0.0293,0.0114,2197,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","severe_disability","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0356,-0.0675,-0.0037,0.0163,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","severe_disability","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0081,-0.0438,0.0315,0.0193,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","severe_disability","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0,-0.0337,0.0337,0.0172,1694,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","severe_disability","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0104,-0.0623,0.0416,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","severe_disability","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0111,-0.043,0.0208,0.0163,1622,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_arrival_to_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,23.6883,2.9383,44.4383,10.5867,1675,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_arrival_to_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,13.3043,-9.5955,38.3419,12.1083,1675,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_arrival_to_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,21.9567,-1.0356,44.9491,11.7308,1675,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_arrival_to_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,21.7054,-10.4187,53.2194,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_arrival_to_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,20.9054,0.8414,40.9694,10.2367,1608,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_arrival","ATE","TMLE, complete case",NA,NA,NA,NA,-203.0411,-292.1886,-113.8936,45.4834,2164,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_arrival","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-129.4769,-219.0472,-36.4134,45.8368,2164,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_arrival","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-115.7828,-174.9883,-56.5774,30.2069,2164,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_arrival","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-93.285,-198.5105,0.393,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_arrival","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-104.9217,-195.0029,-14.8405,45.9598,2077,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_def_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-160.0549,-239.6568,-80.453,40.6132,1710,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_def_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-74.3377,-144.5076,26.7058,44.4025,1710,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_def_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-19.3702,-76.576,37.8356,29.1866,1710,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_def_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-21.243,-102.3694,86.5826,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","time_to_def_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-86.4466,-158.4541,-14.439,36.7386,1642,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0098,-0.03,0.0104,0.0103,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0076,-0.0317,0.0157,0.012,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0129,-0.0404,0.0146,0.014,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0263,-0.051,0.0015,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-0.0107,-0.0316,0.0103,0.0107,2098,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out_higher_care","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0041,-0.0213,0.013,0.0088,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out_higher_care","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0028,-0.0239,0.0169,0.0104,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out_higher_care","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0052,-0.0271,0.0167,0.0112,2188,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out_higher_care","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0139,-0.0355,0.0077,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C4","ambulance, transfers included (2,197)","transferred_out_higher_care","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-0.005,-0.0228,0.0128,0.0091,2098,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_by_6mo","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0053,-0.0198,0.0304,0.0128,6566,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_by_6mo","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0026,-0.0167,0.0131,0.0076,6566,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_by_6mo","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0049,-0.0175,0.0078,0.0065,6566,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
