"contrast","outcome","timestamp","type","note"
"C2","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C2","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C2","time_to_arrival_minutes","2026-09-13 21:10:18","outcome_access","Outcome time_to_arrival_minutes joined for Stage 4 estimation (design stage complete)."
"C2","time_to_arrival_minutes","2026-09-13 21:10:18","estimand_switch","Primary ATE infeasible (verdict SEVERE at trigger SEVERE); moving down the declared ladder."
"C3","death_by_6mo","2026-09-13 14:40:59","contrast","Lock C3: Any ambulance vs non-ambulance (treated: Rescue.Co ambulance + Non-Rescue.Co ambulance; control: Non-ambulance; n = 8323, 2197 treated)."
"C3","death_by_6mo","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C3","death_by_6mo","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C3","death_by_6mo","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C3","death_by_6mo","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C3","death_by_6mo","2026-09-13 22:03:22","outcome_access","Outcome death_by_6mo joined for Stage 4 estimation (design stage complete)."
"C3","time_to_arrival_minutes","2026-09-13 14:40:59","contrast","Lock C3: Any ambulance vs non-ambulance (treated: Rescue.Co ambulance + Non-Rescue.Co ambulance; control: Non-ambulance; n = 8323, 2197 treated)."
"C3","time_to_arrival_minutes","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C3","time_to_arrival_minutes","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C3","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C3","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C3","time_to_arrival_minutes","2026-09-13 18:21:37","outcome_access","Outcome time_to_arrival_minutes joined for Stage 4 estimation (design stage complete)."
"C4","death_by_6mo","2026-09-13 14:40:59","contrast","Lock C4: Rescue.Co vs other ambulance (transfers included) (treated: Rescue.Co ambulance; control: Non-Rescue.Co ambulance; n = 2197, 1039 treated)."
"C4","death_by_6mo","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C4","death_by_6mo","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C4","death_by_6mo","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C4","death_by_6mo","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C4","death_by_6mo","2026-09-13 18:21:37","outcome_access","Outcome death_by_6mo joined for Stage 4 estimation (design stage complete)."
"C4","time_to_arrival_minutes","2026-09-13 14:40:59","contrast","Lock C4: Rescue.Co vs other ambulance (transfers included) (treated: Rescue.Co ambulance; control: Non-Rescue.Co ambulance; n = 2197, 1039 treated)."
"C4","time_to_arrival_minutes","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C4","time_to_arrival_minutes","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C4","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C4","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C4","time_to_arrival_minutes","2026-09-13 21:23:18","outcome_access","Outcome time_to_arrival_minutes joined for Stage 4 estimation (design stage complete)."
"PRIMARY","death_by_6mo","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"PRIMARY","death_by_6mo","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"PRIMARY","death_by_6mo","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"PRIMARY","death_by_6mo","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"PRIMARY","death_by_6mo","2026-09-13 19:43:19","outcome_access","Outcome death_by_6mo joined for Stage 4 estimation (design stage complete)."
"PRIMARY","time_to_arrival_minutes","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"PRIMARY","time_to_arrival_minutes","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"PRIMARY","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"PRIMARY","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"PRIMARY","time_to_arrival_minutes","2026-09-13 21:40:40","outcome_access","Outcome time_to_arrival_minutes joined for Stage 4 estimation (design stage complete)."
